Sentence,Original emoji,output emoji
Who wants to play Fortnite later?,"[':thinking_face:', ':video_game:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
HE GOING TO ESPN?👀👀👀Commentate La Liga,"[':man:', ':backhand_index_pointing_right:', ':party_popper:']", 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
how are all of you doing today,"[':waving_hand:', ':man:', ':woman:', ':thinking_face:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Making friends wherever I go, is my favorite part of trips 🌎","[':backhand_index_pointing_right:', ':man:', ':red_heart:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
a lot of y’all need to go get tested,"[':man:', ':woman:', ':backhand_index_pointing_right:', ':open_book:']", 😍 😴 😍 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
ok gn,"[':OK_hand:', ':first_quarter_moon_face:']", 🌞 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
How is it August already?!,"[':backhand_index_pointing_right:', ':calendar:', ':person_facepalming:']", 😍 😴 👉 👉 👋 🌞 😴 🌞 😴 👋 😴 🌞 😴 👋 😴 😴 😴 😴 👋
me just trying to chill despite life constant fucking me over,"[':man:', ':backhand_index_pointing_right:', ':grinning_face_with_smiling_eyes:', ':thumbs_down:']", 😍 😴 🌞 🌞 👋 👋 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Fuck ur mama 😣 fuck ur dad 😣,[':pouting_face:'], 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I miss pang,"[':red_heart:', ':man:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
If dugg wouldve just not. He would’ve been ok.,"[':man:', ':cross_mark:', ':man:', ':OK_hand:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
A lot of y’all worried about the wrong things.,"[':cross_mark:', ':thinking_face:', ':person_facepalming:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
happy birthday pacar akuuu @/marklee,[':party_popper:'], 😍 😴 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
NY Yankees P Domingo German (shoulder) placed on 10-day IL (08/01),"[':person_running:', ':calendar:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
My daddy beat hoes for my mama he don’t beat my mama . Big difference,"[':man:', ':backhand_index_pointing_right:', ':woman:', ':person_facepalming:']", 😍 😴 🌞 🌞 🌞 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
After I came to this area there has come up strange tagged signs everywhere.,"[':man:', ':backhand_index_pointing_right:', ':house:', ':person_facepalming:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
$15k to save your murderous girlfriend with the bad back???,"[':money_bag:', ':woman:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"If ESPN FC is the answer , what is the question??","[':briefcase:', ':thinking_face:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
mf’s won’t even check on you when they know you going thru it but be quick af to ask for a favor.,"[':man:', ':backhand_index_pointing_right:', ':speech_balloon:', ':folded_hands:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
 Coffee must've stole my phone ,"[':thinking_face:', ':mobile_phone:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
🍭 i maybe omg marius&lt;33!! but inside talaga vyn&gt;&gt;,"[':party_popper:', ':red_heart:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I don't do that anymore because I know he sees and he will get me what I want😭,"[':person_facepalming:', ':eyes:', ':man:', ':backhand_index_pointing_right:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Omg george!! You deserved it!!💙💙 So happy for you 🥺🥺💙💙,"[':party_popper:', ':grinning_face_with_smiling_eyes:']", 🌞 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Roses are gold forget me nots are olive sugar be sweet and so on,[':thinking_face:'], 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴
"My love for you is just like diarrhea, I just can't hold it in.😦😧😍😘","[':party_popper:', ':grinning_face_with_smiling_eyes:']", 😍 😴 🌞 🌞 🌞 👋 😴 👋 😍 😴 😴 👉 👋 👋 😍 😴 😍 😴 😍
SILVER MEDAL FOR MYKAYLA!!!  From plane to podium! A PHOENIX FROM THE ASHES!,[':party_popper:'], 🌞 😴 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞
who is turning 30 this year? I thought dylan was turning 24,"[':backhand_index_pointing_right:', ':calendar:', ':broken_heart:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
it’s already August shit cray.,"[':backhand_index_pointing_right:', ':calendar:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Another hour! It's August 01, 2021 at 05:29PM","[':backhand_index_pointing_right:', ':alarm_clock:', ':calendar:']", 😍 😴 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Hezbollah: Lebanese government to prosecute and punish perpetrators of Ali Shibli assassination.,"[':church:', ':thumbs_down:', ':folded_hands:', ':skull:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 🌞 😴 😴 🌞 😴 😴 😴 👋 😴 😴 😴
WAIT THIS IS SO PRETTY,"[':thinking_face:', ':party_popper:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Duck til it’s safe to come outside headassss,"[':dog_face:', ':eyes:', ':church:', ':thumbs_up:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m just so not interested these days,"[':crying_face:', ':broken_heart:', ':calendar:']", 😍 😴 😍 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
You can't stand up for your own Planet you can't stand up for anyting I can't stand you,"[':thinking_face:', ':house:', ':cross_mark:', ':backhand_index_pointing_right:', ':man:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
just got glorious lulu i feel like a fairy,"[':woman:', ':thinking_face:', ':thumbs_up:']", 😍 😴 👉 👉 💬 👉 😴 👋 👋 👋 👋 😴 😴 👋 👋 👋 👋 😴 😴
"hearing story about david and johnathan in the bible now, they were definitely gay asl","[':speech_balloon:', ':man:', ':red_heart:', ':man:', ':church:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Can't believe this tweet didn't even get 100 likes..... this is a serious TOTY contender,"[':speech_balloon:', ':cross_mark:', ':red_heart:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Our fanbase and reactionism.,"[':thinking_face:', ':party_popper:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I'm gonna play you some.,"[':thinking_face:', ':backhand_index_pointing_right:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I am not sure what happened but I fell pretty epically going down the stairs and almost smashed my face into the wall? It was uhhh alarming,"[':thinking_face:', ':pile_of_poo:', ':crying_face:', ':alarm_clock:']", 😍 👉 🌞 😍 😴 🌞 😴 👋 😴 👋 😴 😴 👋 😴 😴 👋 😴 😴 👋
it’s ALWAYS the filo kpop stans istg,"[':musical_note:', ':thumbs_up:']", 😍 😴 😍 👋 😍 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Don’t tag your girl for national gf day if you don’t want me to follow her, simple","[':cross_mark:', ':woman:', ':calendar:', ':person_running:', ':woman:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
RAN IS GIVING ME SEROTONIN ILY,"[':sweat_droplets:', ':backhand_index_pointing_right:', ':face_vomiting:']", 😍 😴 🌞 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
All the very best to ur Indian Women's Hockey Team as well for QF. Go for it girls billions of wishes r with u. 🥉🇮🇳🇮🇳🇮🇳🙏🙏🤞🤞,"[':woman:', ':person_running:', ':thumbs_up:', ':party_popper:']", 😍 🌞 🌞 🌞 😴 🌞 😴 🌞 🌞 🌞 👋 😴 👋 😍 😴 😴 🌞 😍 😴
they really removing fleets today … 😵‍💫,"[':cross_mark:', ':house:', ':calendar:', ':face_vomiting:']", 😍 😴 😍 🌞 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴
Hi guys did u want sum treats,"[':waving_hand:', ':man:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Nobody knows what's hidden deep inside.   WE WANT SAAKK S2,"[':cross_mark:', ':man:', ':thinking_face:', ':person_facepalming:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Accidentally got a little too baked, per sources","[':fire:', ':cooking:']", 😍 😴 😍 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Mayweather look like common,"[':man:', ':thumbs_up:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
“we just talked two weeks ago”TWO WEEKS AGO,"[':man:', ':speech_balloon:', ':calendar:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Empire College is a private for-profit phrontistery in Santa Rosa, California.","[':church:', ':backhand_index_pointing_right:', ':money_bag:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 👋 😴 😴 👋 😴 👋 👋 😴 😍 👋
"Hmm, perhaps I'll look into what kind of fabric I should order for my kusuriuri cosplay  First I need to learn how kimono patterns work tho","[':thinking_face:', ':backhand_index_pointing_right:', ':ghost:', ':necktie:', ':person_facepalming:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"It’s August 1st y’all, happy soooky vibezzzz 🧡","[':calendar:', ':party_popper:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Thinking about him again.,"[':thinking_face:', ':man:', ':persevering_face:']", 😍 🥰 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
the hidden replies 😭😭 ur a LOSER,"[':cross_mark:', ':eyes:', ':speech_balloon:', ':pouting_face:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴
just lied,[':pouting_face:'], 😍 😴 😍 😴 🥰 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
. . . really interesting 🧵,[':smiling_face_with_hearts:'], 😍 😴 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞
We shoulda scored more.😎,"[':folded_hands:', ':backhand_index_pointing_right:', ':thumbs_up:']", 📱 😴 😴 📱 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Certainly came close to! Megaten and Persona fans are real mean and weird,"[':man:', ':face_vomiting:', ':person_facepalming:']", 🌞 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This is the content we love 🤣,"[':man:', ':red_heart:', ':speech_balloon:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I have been enough to being positive person,"[':person_facepalming:', ':cross_mark:', ':grinning_face_with_smiling_eyes:']", 😍 😴 👉 👉 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I got trust issues…lol,"[':cross_mark:', ':smiling_face_with_hearts:', ':speech_balloon:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"my phone says i tried to brick mephone, but i never did that!  promise :D","[':mobile_phone:', ':speech_balloon:', ':backhand_index_pointing_right:', ':mobile_phone:', ':cross_mark:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m looking real breedable,"[':eyes:', ':thumbs_up:']", 😍 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I hope they announce the new Satine understudy too. they  deserve the spotlight too,"[':folded_hands:', ':speech_balloon:', ':backhand_index_pointing_right:', ':party_popper:']", 😍 😴 📱 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Trippy,[':thinking_face:'], 😍 
LETS GOOO,[':party_popper:'], 🌞 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Knowing a nigga love you but can’t love you properly is a painful situation...😩,"[':man:', ':red_heart:', ':backhand_index_pointing_right:', ':crying_face:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
My journals never did contain any deep thoughts. Just me whining about crap.,"[':open_book:', ':cross_mark:', ':speech_balloon:']", 😍 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i have‐,[':backhand_index_pointing_right:'], 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
No excuses. Just results 😎💰,"[':cross_mark:', ':speech_balloon:', ':OK_hand:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴
"God I love Seb. And I hate that I used to despise him at one point. What an incredible dude, class of the grid","[':church:', ':red_heart:', ':thumbs_up:', ':man:']", 😍 😴 🌞 🌞 👋 👋 👋 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"one thing about me, i’m not playing with people’s kids. you better call your ol ma.","[':backhand_index_pointing_right:', ':man:', ':cross_mark:', ':video_game:', ':man:']", 😍 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
What y’all think?,"[':backhand_index_pointing_right:', ':thinking_face:']", 😍 😴 😴 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
no cuz the rest of the members are on the other side of the skateboard why are the two of them isolated,"[':man:', ':man:', ':person_running:', ':cross_mark:', ':man:']", 😍 😴 🌞 👉 🌞 😴 🌞 👋 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"every single one but I have a soft spot for m.i.a, neverending story, levanter, slump and side effects",[':red_heart:'], 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"every second of every minute, every minute of every hour and every hour of every day.","[':alarm_clock:', ':calendar:']", 😍 😴 👉 👉 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
🗣IF IT IS DELETED I AINT TWEET IT.,"[':backhand_index_pointing_right:', ':cross_mark:', ':speech_balloon:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Ok but Top Cat being my fav character and Thomas Lennon one of my fav actors voicing him omg perfect,"[':red_heart:', ':man:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 👋 😴 😴
pls comment if you do want to join ❤️‍🔥 i'll be creating it once a few more people wanna join,"[':man:', ':backhand_index_pointing_right:', ':man:', ':woman:', ':boy:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’d definitely be for it. He’s clearly better than Chapman.,"[':OK_hand:', ':backhand_index_pointing_right:', ':man:', ':thumbs_up:']", 😍 😴 🌞 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Went for a swim but aquafit was in full swing so we had sweet potato fries in the cafe instead.,"[':backhand_index_pointing_right:', ':sweat_droplets:', ':man:', ':cooking:']", 😍 😴 😍 😴 💬 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"He hugs the readers leg, snuggly wolf noises.","[':man:', ':open_book:', ':thumbs_up:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Hello everyone, due to circumstances, drawings will be published less often. :(","[':waving_hand:', ':cross_mark:', ':alarm_clock:', ':backhand_index_pointing_right:', ':open_book:']", 😍 😴 🌞 🌞 🌞 😴 😴 👋 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴
I wanna go to brunch !,"[':thinking_face:', ':cooking:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
bitches on youtube when a new variant of covid comes out “covid-19 (slowed + reverbed) 🥀🖤”,"[':pouting_face:', ':woman:', ':backhand_index_pointing_right:', ':syringe:']", 😍 😴 😍 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Lol sure,"[':face_with_tears_of_joy:', ':OK_hand:']", 👉 🥰 👉 👉 👉 👉 👉 👉 👉 💬 👉 👉 🍳 👋 👋 👋 👋 👋 👋
Athleticism = inter-muscular coordination   *the ability of the muscles to contract (and relax) in measured harmony*,"[':person_running:', ':thumbs_up:', ':first_quarter_moon_face:']", 😍 😴 🌞 🌞 🌞 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴
nba is unwatchable,"[':person_running:', ':cross_mark:', ':eyes:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
She’s good from far but far from good,"[':woman:', ':thumbs_up:']", 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"sabtu felt like a weekend, ahad feels like pre-monday","[':backhand_index_pointing_right:', ':calendar:', ':briefcase:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
girl you be killin’ em,"[':woman:', ':person_facepalming:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"the way school makes my anxiety worse, yho ha.a","[':church:', ':backhand_index_pointing_right:', ':crying_face:']", 😍 😴 🌞 🌞 🌞 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴
So glad LOONA has learned we don’t follow rules and will record anything,"[':folded_hands:', ':man:', ':cross_mark:', ':person_facepalming:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Wanttttt,[':thinking_face:'], 😍 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Its august 1st 🥳🥳🥳,"[':calendar:', ':party_popper:']", 😍 😴 😍 😴 🥰 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
trust nobody,"[':cross_mark:', ':man:', ':woman:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Anyone selling a hard summer ticket for today !!,"[':money_bag:', ':party_popper:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
wedge has an insanity kink,"[':man:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Mila said “fuck that cow” 💀,"[':woman:', ':speech_balloon:', ':pouting_face:', ':thumbs_down:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
So Emmanuel still get mind call Liquorose after all the love thing  Fear men 🥱,"[':man:', ':cross_mark:', ':mobile_phone:', ':woman:', ':calendar:']", 😍 😴 🌞 🌞 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
“Fine I’ll just block you and disrespect you from there”  what type of big bitch shit is that? Weak ass energy,"[':cross_mark:', ':mobile_phone:', ':pouting_face:', ':persevering_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Haven’t been to church since Easter and pastor Raymond was speaking directly to me today . Def needed that,"[':cross_mark:', ':cooking:', ':calendar:', ':backhand_index_pointing_right:', ':cooking:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 👋 😴 😴 👋 😴 😴 👋 😴 👋
I hope y'all are having a lovely weekend!,"[':folded_hands:', ':smiling_face_with_hearts:', ':calendar:']", 😍 😴 😴 👉 👉 👋 👉 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
FELIX UR TOO CUTE STOP IT,"[':man:', ':smiling_face_with_hearts:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"tell me when it’s over, so then i can try to understand what would’ve just happened.","[':speech_balloon:', ':man:', ':thinking_face:']", 😍 😴 🌞 🌞 🌞 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
“You retweet some good shit man 😂”. I try 🤣🤓,"[':backhand_index_pointing_right:', ':thumbs_up:', ':speech_balloon:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
All that shit gone come back and bite you in the ass,"[':pile_of_poo:', ':backhand_index_pointing_right:', ':fire:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
My hottest farmer fantasy.  I’d be useless on the farm. But I could suck that dick all day while he works.,"[':fire:', ':man:', ':cross_mark:', ':pile_of_poo:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
